label,"Total Population"
2019,328239523
2018,327167434
2017,325147121
2016,323071342
2015,320742673
2014,318386421
2013,316057727
2012,313874218
2011,311580009
2010,309326085
2009,306771529
2008,304093966
2007,301231207
2006,298379912
2005,295516599
2004,292805298
2003,290107933
2002,287625193
2001,284968955
2000,282162411
1999,279294713
1998,276115288
1997,272911760
1996,269667391
1995,266557091
1994,263435673
1993,260255352
1992,256894189
1991,253492503
1990,250131894
1989,246819222
1988,244499004
1987,242288936
1986,240132831
1985,237923734
1984,235824908
1983,233792014
1982,231664432
1981,229465744
1980,226542250
1979,225055487
1978,222584545
1977,220239425
1976,218035164
1975,215973199
1974,213853928
1973,211908788
1972,209896021
1971,207660677
1970,205052174
1969,202676946
1968,200706052
1967,198712056
1966,196560338
1965,194302963
1964,191888791
1963,189241798
1962,186537737
1961,183691481
1960,180671158
1959,177829628
1958,174881904
1957,171984130
1956,168903031
1955,165931202
1954,163025854
1953,160184192
1952,157552740
1951,154877889
1950,152271417
1949,149188130
1948,146631302
1947,144126071
1946,141388566
1945,139928165
1944,138397345
1943,136739353
1942,134859553
1941,133402471
1940,132122446
1939,130879718
1938,129824939
1937,128824829
1936,128053180
1935,127250232
1934,126373773
1933,125578763
1932,124840471
1931,124039648
1930,123076741
1929,121767000
1928,120509000
1927,119035000
1926,117397000
1925,115829000
1924,114109000
1923,111947000
1922,110049000
1921,108538000
1920,106461000
1919,104514000
1918,103208000
1917,103268000
1916,101961000
1915,100546000
1914,99111000
1913,97225000
1912,95335000
1911,93863000
1910,92407000
1909,90490000
1908,88710000
1907,87008000
1906,85450000
1905,83822000
1904,82166000
1903,80632000
1902,79163000
1901,77584000
1900,76094000
